10.0,7.0,526.0,15.0,9.0,4.0,13.0,3.0,4.0,0.0,0.0,0.0,76.0,39.0,0
1.0,4.0,2686.0,15.0,9.0,4.0,1.0,3.0,4.0,1.0,0.0,25.0,14.0,39.0,0
6.0,4.0,253.0,11.0,8.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0,0
43.0,4.0,3450.0,9.0,12.0,2.0,4.0,0.0,4.0,1.0,108.0,0.0,44.0,39.0,1
2.0,4.0,2328.0,6.0,4.0,4.0,6.0,3.0,4.0,1.0,0.0,0.0,24.0,39.0,0
23.0,6.0,441.0,8.0,10.0,2.0,5.0,0.0,4.0,1.0,0.0,0.0,59.0,39.0,0
4.0,2.0,1008.0,15.0,9.0,4.0,1.0,3.0,4.0,1.0,0.0,0.0,39.0,39.0,0
27.0,4.0,532.0,15.0,9.0,2.0,13.0,0.0,4.0,1.0,0.0,0.0,17.0,39.0,1
45.0,0.0,497.0,11.0,8.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,17.0,39.0,0
6.0,5.0,1075.0,11.0,8.0,4.0,14.0,1.0,4.0,1.0,0.0,0.0,49.0,39.0,0
1.0,4.0,865.0,11.0,8.0,4.0,3.0,3.0,4.0,1.0,0.0,0.0,24.0,39.0,0
44.0,0.0,421.0,5.0,3.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0,1
19.0,4.0,760.0,7.0,11.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,36.0,39.0,0
18.0,7.0,820.0,15.0,9.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,14.0,39.0,0
43.0,4.0,129.0,15.0,9.0,5.0,14.0,1.0,0.0,0.0,0.0,0.0,29.0,39.0,0
2.0,6.0,843.0,15.0,9.0,4.0,3.0,3.0,4.0,1.0,0.0,0.0,19.0,39.0,0
16.0,1.0,178.0,8.0,10.0,2.0,13.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0,1
11.0,4.0,1963.0,9.0,12.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,14.0,39.0,0
16.0,4.0,488.0,7.0,11.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,39.0,39.0,0
5.0,0.0,586.0,15.0,9.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0,49.0,39.0,0
6.0,4.0,1563.0,15.0,9.0,4.0,9.0,3.0,4.0,0.0,0.0,0.0,9.0,39.0,0
18.0,4.0,857.0,9.0,12.0,2.0,4.0,0.0,4.0,1.0,68.0,0.0,46.0,39.0,1
37.0,4.0,385.0,1.0,6.0,2.0,8.0,5.0,4.0,0.0,0.0,0.0,42.0,39.0,0
11.0,4.0,5536.0,9.0,12.0,2.0,4.0,5.0,4.0,0.0,108.0,0.0,27.0,39.0,1
37.0,4.0,4237.0,15.0,9.0,2.0,12.0,0.0,4.0,1.0,108.0,0.0,39.0,39.0,1
30.0,4.0,67.0,11.0,8.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,39.0,39.0,0
6.0,4.0,71.0,2.0,7.0,4.0,6.0,3.0,0.0,1.0,0.0,0.0,39.0,39.0,0
13.0,0.0,673.0,9.0,12.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,93.0,39.0,0
20.0,4.0,992.0,15.0,9.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,39.0,39.0,0
27.0,4.0,2549.0,15.0,9.0,2.0,3.0,0.0,4.0,1.0,79.0,0.0,49.0,39.0,1
28.0,4.0,3912.0,11.0,8.0,0.0,8.0,1.0,4.0,1.0,0.0,51.0,39.0,39.0,0
31.0,4.0,2937.0,11.0,8.0,2.0,10.0,0.0,4.0,1.0,91.0,0.0,39.0,39.0,1
3.0,4.0,3343.0,15.0,9.0,4.0,12.0,3.0,4.0,0.0,0.0,0.0,7.0,39.0,0
15.0,5.0,2718.0,15.0,9.0,2.0,4.0,0.0,4.0,1.0,108.0,0.0,49.0,39.0,1
32.0,5.0,1928.0,15.0,9.0,2.0,4.0,0.0,4.0,1.0,108.0,0.0,49.0,39.0,1
24.0,4.0,369.0,11.0,8.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,51.0,39.0,1
29.0,1.0,35.0,9.0,12.0,2.0,4.0,0.0,4.0,1.0,108.0,0.0,39.0,39.0,1
21.0,5.0,3794.0,9.0,12.0,2.0,4.0,0.0,4.0,1.0,108.0,0.0,76.0,39.0,1
26.0,4.0,5196.0,12.0,13.0,0.0,4.0,4.0,4.0,0.0,0.0,82.0,39.0,39.0,1
9.0,4.0,765.0,11.0,8.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,39.0,39.0,0
14.0,4.0,1246.0,9.0,12.0,2.0,10.0,5.0,4.0,0.0,0.0,0.0,34.0,39.0,0
14.0,7.0,2674.0,13.0,0.0,4.0,8.0,1.0,4.0,1.0,0.0,0.0,23.0,39.0,0
29.0,4.0,803.0,5.0,3.0,5.0,8.0,1.0,4.0,0.0,0.0,0.0,31.0,39.0,0
59.0,6.0,623.0,12.0,13.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,29.0,0.0,1
3.0,4.0,1037.0,11.0,8.0,4.0,8.0,3.0,4.0,1.0,0.0,0.0,29.0,39.0,0
6.0,4.0,501.0,11.0,8.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,39.0,39.0,0
22.0,4.0,15.0,15.0,9.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,39.0,39.0,0
25.0,4.0,340.0,9.0,12.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0,0
9.0,4.0,701.0,15.0,9.0,4.0,11.0,1.0,4.0,1.0,0.0,0.0,43.0,39.0,0
9.0,4.0,1612.0,9.0,12.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,19.0,39.0,0
13.0,4.0,2749.0,15.0,9.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,9.0,39.0,0
22.0,4.0,2655.0,9.0,12.0,2.0,4.0,0.0,4.0,1.0,0.0,46.0,49.0,39.0,1
11.0,4.0,1371.0,8.0,10.0,4.0,13.0,3.0,4.0,0.0,25.0,0.0,35.0,39.0,0
3.0,4.0,1002.0,15.0,9.0,4.0,8.0,3.0,4.0,1.0,0.0,0.0,19.0,39.0,0
49.0,6.0,273.0,5.0,3.0,6.0,5.0,4.0,4.0,1.0,0.0,0.0,49.0,39.0,0
34.0,5.0,3873.0,10.0,15.0,2.0,10.0,0.0,4.0,1.0,108.0,0.0,39.0,39.0,1
6.0,4.0,703.0,11.0,8.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,44.0,39.0,0
23.0,2.0,126.0,15.0,9.0,0.0,14.0,4.0,4.0,1.0,90.0,0.0,39.0,39.0,0
4.0,4.0,1437.0,15.0,9.0,4.0,6.0,3.0,4.0,1.0,0.0,0.0,39.0,39.0,0
18.0,4.0,1329.0,11.0,8.0,4.0,7.0,1.0,4.0,0.0,0.0,0.0,39.0,39.0,0
9.0,4.0,702.0,8.0,10.0,4.0,8.0,1.0,4.0,1.0,0.0,0.0,39.0,39.0,0
21.0,4.0,984.0,9.0,12.0,2.0,4.0,0.0,4.0,1.0,108.0,0.0,64.0,39.0,1
14.0,2.0,1543.0,15.0,9.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,31.0,39.0,0
26.0,1.0,8284.0,14.0,14.0,2.0,10.0,0.0,1.0,1.0,0.0,76.0,54.0,0.0,1
13.0,4.0,533.0,9.0,12.0,4.0,13.0,1.0,4.0,0.0,0.0,0.0,69.0,39.0,0
22.0,6.0,2197.0,15.0,9.0,2.0,8.0,5.0,4.0,0.0,0.0,0.0,14.0,39.0,1
0.0,4.0,1350.0,1.0,6.0,4.0,8.0,3.0,4.0,1.0,0.0,0.0,4.0,39.0,0
10.0,4.0,513.0,8.0,10.0,4.0,3.0,3.0,4.0,1.0,0.0,0.0,37.0,39.0,0
21.0,4.0,644.0,11.0,8.0,0.0,12.0,4.0,4.0,0.0,0.0,0.0,39.0,39.0,0
5.0,4.0,579.0,15.0,9.0,4.0,8.0,1.0,4.0,0.0,0.0,0.0,29.0,39.0,0
19.0,4.0,301.0,15.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,49.0,39.0,0
8.0,4.0,320.0,7.0,11.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,44.0,39.0,0
28.0,4.0,190.0,11.0,8.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,7.0,39.0,0
19.0,4.0,643.0,9.0,12.0,2.0,12.0,0.0,4.0,1.0,0.0,46.0,34.0,39.0,1
32.0,6.0,1215.0,10.0,15.0,4.0,10.0,1.0,4.0,1.0,118.0,0.0,68.0,39.0,1
36.0,4.0,3190.0,11.0,8.0,2.0,4.0,0.0,4.0,1.0,118.0,0.0,39.0,39.0,1
22.0,1.0,435.0,6.0,4.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0,1
35.0,4.0,5415.0,9.0,12.0,2.0,4.0,0.0,4.0,1.0,118.0,0.0,49.0,39.0,1
24.0,4.0,53.0,9.0,12.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,39.0,24.0,1
31.0,4.0,4573.0,9.0,12.0,2.0,13.0,5.0,4.0,0.0,118.0,0.0,39.0,39.0,1
42.0,4.0,5774.0,14.0,14.0,2.0,10.0,0.0,1.0,1.0,118.0,0.0,39.0,19.0,1
30.0,6.0,167.0,8.0,10.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0,1
1.0,4.0,1877.0,1.0,6.0,4.0,12.0,3.0,4.0,1.0,0.0,0.0,15.0,39.0,0
18.0,4.0,206.0,11.0,8.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0,39.0,39.0,0
34.0,4.0,54.0,12.0,13.0,2.0,10.0,0.0,4.0,1.0,0.0,47.0,59.0,39.0,1
45.0,4.0,4629.0,9.0,12.0,2.0,4.0,0.0,4.0,1.0,108.0,0.0,39.0,39.0,1
5.0,7.0,1428.0,15.0,9.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,24.0,39.0,0
29.0,4.0,788.0,0.0,5.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,39.0,39.0,0
24.0,7.0,4603.0,11.0,8.0,4.0,14.0,1.0,4.0,0.0,106.0,0.0,39.0,39.0,1
8.0,0.0,722.0,15.0,9.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,39.0,39.0,0
20.0,4.0,4625.0,12.0,13.0,5.0,4.0,1.0,4.0,1.0,115.0,0.0,59.0,20.0,1
13.0,4.0,5.0,15.0,9.0,2.0,10.0,0.0,4.0,1.0,94.0,0.0,39.0,39.0,1
4.0,4.0,31.0,11.0,8.0,4.0,12.0,3.0,4.0,0.0,67.0,0.0,39.0,39.0,0
26.0,4.0,790.0,15.0,9.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,39.0,39.0,0
30.0,6.0,628.0,7.0,11.0,4.0,5.0,2.0,4.0,1.0,100.0,0.0,44.0,39.0,1
32.0,4.0,311.0,15.0,9.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,39.0,39.0,0
4.0,4.0,2295.0,15.0,9.0,4.0,12.0,3.0,4.0,0.0,0.0,0.0,19.0,39.0,0
2.0,0.0,294.0,15.0,9.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,39.0,39.0,0
21.0,4.0,4020.0,15.0,9.0,5.0,7.0,1.0,4.0,1.0,0.0,69.0,54.0,39.0,1
9.0,4.0,898.0,8.0,10.0,2.0,3.0,0.0,4.0,1.0,0.0,53.0,39.0,39.0,0
16.0,6.0,116.0,15.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,59.0,39.0,0
5.0,4.0,1572.0,15.0,9.0,4.0,12.0,1.0,4.0,0.0,0.0,0.0,39.0,39.0,0
3.0,0.0,139.0,15.0,9.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,39.0,39.0,0
37.0,4.0,65.0,15.0,9.0,2.0,14.0,0.0,4.0,1.0,108.0,0.0,59.0,39.0,1
50.0,0.0,913.0,5.0,3.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,39.0,0
6.0,4.0,2906.0,15.0,9.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,15.0,39.0,0
21.0,4.0,55.0,15.0,9.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,49.0,39.0,0
30.0,4.0,1382.0,15.0,9.0,2.0,1.0,5.0,4.0,0.0,0.0,0.0,39.0,39.0,0
2.0,4.0,833.0,15.0,9.0,4.0,6.0,1.0,4.0,0.0,0.0,0.0,34.0,39.0,0
14.0,4.0,2460.0,9.0,12.0,4.0,4.0,1.0,4.0,1.0,105.0,0.0,49.0,39.0,1
5.0,4.0,349.0,2.0,7.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,49.0,39.0,0
47.0,5.0,1955.0,10.0,15.0,2.0,4.0,0.0,4.0,1.0,0.0,47.0,59.0,39.0,1
1.0,0.0,161.0,1.0,6.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0,69.0,39.0,0
3.0,4.0,610.0,8.0,10.0,4.0,5.0,3.0,4.0,1.0,0.0,0.0,39.0,39.0,0
37.0,1.0,2571.0,11.0,8.0,2.0,4.0,0.0,4.0,1.0,79.0,0.0,39.0,39.0,1
21.0,4.0,1233.0,9.0,12.0,2.0,10.0,0.0,4.0,1.0,91.0,0.0,59.0,39.0,1
28.0,4.0,628.0,8.0,10.0,2.0,12.0,0.0,4.0,1.0,0.0,50.0,49.0,39.0,1
30.0,5.0,2756.0,14.0,14.0,0.0,10.0,1.0,4.0,1.0,115.0,0.0,49.0,39.0,1
56.0,4.0,168.0,5.0,3.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,29.0,39.0,1
1.0,4.0,1853.0,15.0,9.0,4.0,11.0,3.0,4.0,0.0,0.0,0.0,19.0,39.0,0
17.0,7.0,16.0,15.0,9.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,37.0,30.0,0
5.0,4.0,1614.0,15.0,9.0,4.0,3.0,3.0,4.0,1.0,0.0,0.0,29.0,39.0,0
22.0,5.0,5108.0,14.0,14.0,2.0,10.0,0.0,4.0,1.0,118.0,0.0,64.0,39.0,1
0.0,4.0,1686.0,6.0,4.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,34.0,39.0,0
55.0,0.0,315.0,1.0,6.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,23.0,39.0,0
4.0,4.0,656.0,15.0,9.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,24.0,39.0,0
2.0,4.0,1001.0,15.0,9.0,4.0,5.0,3.0,4.0,1.0,0.0,0.0,65.0,39.0,0
31.0,7.0,463.0,15.0,9.0,2.0,11.0,0.0,4.0,1.0,0.0,47.0,39.0,39.0,1
22.0,4.0,2398.0,9.0,12.0,2.0,14.0,0.0,4.0,1.0,108.0,0.0,93.0,39.0,1
46.0,2.0,313.0,5.0,3.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,54.0,39.0,0
5.0,4.0,761.0,11.0,8.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,34.0,39.0,0
6.0,4.0,1678.0,9.0,12.0,4.0,12.0,1.0,4.0,1.0,0.0,25.0,11.0,39.0,0
47.0,2.0,531.0,5.0,3.0,2.0,11.0,0.0,4.0,1.0,0.0,0.0,9.0,39.0,0
0.0,4.0,1408.0,1.0,6.0,4.0,10.0,3.0,4.0,0.0,0.0,0.0,19.0,39.0,0
16.0,2.0,1247.0,12.0,13.0,2.0,10.0,0.0,4.0,1.0,94.0,0.0,49.0,39.0,1
5.0,4.0,482.0,9.0,12.0,2.0,1.0,3.0,0.0,0.0,43.0,0.0,24.0,39.0,0
19.0,4.0,319.0,15.0,9.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,44.0,39.0,0
6.0,4.0,1295.0,15.0,9.0,5.0,12.0,3.0,4.0,0.0,0.0,0.0,39.0,39.0,0
13.0,4.0,331.0,15.0,9.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,19.0,39.0,0
17.0,6.0,131.0,11.0,8.0,2.0,5.0,0.0,4.0,1.0,0.0,0.0,76.0,39.0,0
23.0,4.0,9143.0,12.0,13.0,0.0,10.0,1.0,4.0,1.0,0.0,0.0,42.0,39.0,0
21.0,4.0,314.0,1.0,6.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,49.0,39.0,0
65.0,0.0,1184.0,0.0,5.0,6.0,0.0,1.0,4.0,1.0,0.0,0.0,19.0,39.0,0
72.0,0.0,2649.0,11.0,8.0,6.0,0.0,1.0,4.0,0.0,0.0,91.0,39.0,39.0,0
8.0,4.0,296.0,8.0,10.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0,0
46.0,5.0,993.0,15.0,9.0,6.0,12.0,1.0,4.0,0.0,105.0,0.0,59.0,39.0,1
4.0,4.0,214.0,15.0,9.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,11.0,39.0,0
0.0,4.0,1664.0,0.0,5.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,5.0,39.0,0
4.0,4.0,579.0,11.0,8.0,4.0,8.0,1.0,4.0,0.0,0.0,33.0,15.0,39.0,0
36.0,6.0,3879.0,12.0,13.0,2.0,4.0,0.0,4.0,1.0,0.0,50.0,39.0,39.0,1
21.0,4.0,367.0,9.0,12.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,44.0,39.0,1
12.0,4.0,2866.0,14.0,14.0,4.0,10.0,4.0,4.0,1.0,115.0,0.0,44.0,11.0,1
7.0,4.0,1438.0,1.0,6.0,4.0,8.0,1.0,2.0,0.0,0.0,0.0,39.0,39.0,0
31.0,2.0,470.0,15.0,9.0,2.0,4.0,5.0,4.0,0.0,79.0,0.0,39.0,39.0,1
15.0,4.0,1189.0,15.0,9.0,0.0,10.0,1.0,4.0,0.0,0.0,0.0,29.0,39.0,0
3.0,4.0,230.0,11.0,8.0,4.0,6.0,3.0,0.0,1.0,0.0,0.0,47.0,39.0,0
2.0,4.0,1634.0,15.0,9.0,4.0,8.0,3.0,4.0,1.0,0.0,0.0,19.0,39.0,0
39.0,7.0,1734.0,10.0,15.0,2.0,10.0,1.0,1.0,1.0,43.0,0.0,39.0,3.0,0
30.0,4.0,3707.0,12.0,13.0,2.0,10.0,5.0,4.0,0.0,94.0,0.0,39.0,39.0,1
7.0,1.0,358.0,9.0,12.0,4.0,10.0,1.0,3.0,0.0,0.0,0.0,39.0,39.0,0
17.0,6.0,512.0,11.0,8.0,4.0,5.0,1.0,4.0,1.0,0.0,0.0,39.0,39.0,0
20.0,4.0,7878.0,14.0,14.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,44.0,39.0,1
22.0,4.0,374.0,11.0,8.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0,0
5.0,4.0,1223.0,15.0,9.0,2.0,4.0,5.0,4.0,0.0,0.0,0.0,39.0,39.0,0
21.0,4.0,500.0,9.0,12.0,2.0,3.0,5.0,4.0,0.0,0.0,0.0,39.0,39.0,0
7.0,4.0,7.0,11.0,8.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,47.0,39.0,0
19.0,4.0,4520.0,11.0,8.0,2.0,14.0,0.0,4.0,1.0,0.0,53.0,39.0,39.0,0
54.0,7.0,166.0,14.0,14.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,27.0,39.0,0
1.0,0.0,871.0,15.0,9.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0,47.0,39.0,0
6.0,4.0,2071.0,11.0,8.0,4.0,3.0,4.0,4.0,1.0,0.0,0.0,39.0,39.0,0
30.0,1.0,768.0,9.0,12.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,44.0,11.0,1
6.0,4.0,1614.0,11.0,8.0,4.0,14.0,1.0,4.0,1.0,0.0,0.0,37.0,39.0,0
39.0,6.0,187.0,9.0,12.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,19.0,39.0,1
32.0,6.0,4492.0,11.0,8.0,0.0,4.0,4.0,4.0,0.0,105.0,0.0,29.0,39.0,1
2.0,4.0,239.0,1.0,6.0,4.0,6.0,1.0,4.0,1.0,0.0,0.0,39.0,39.0,0
21.0,4.0,55.0,8.0,10.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0,0
8.0,2.0,523.0,9.0,12.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,39.0,39.0,0
40.0,7.0,1044.0,11.0,8.0,5.0,8.0,1.0,4.0,0.0,0.0,0.0,34.0,39.0,0
22.0,2.0,8054.0,12.0,13.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0,1
53.0,2.0,3183.0,12.0,13.0,4.0,10.0,4.0,4.0,0.0,95.0,0.0,49.0,39.0,1
1.0,4.0,1047.0,1.0,6.0,4.0,6.0,3.0,4.0,1.0,0.0,0.0,23.0,39.0,0
23.0,6.0,321.0,15.0,9.0,4.0,7.0,1.0,4.0,1.0,0.0,0.0,34.0,39.0,0
6.0,4.0,976.0,9.0,12.0,4.0,8.0,3.0,4.0,1.0,0.0,0.0,39.0,39.0,0
20.0,5.0,268.0,11.0,8.0,4.0,14.0,1.0,4.0,1.0,0.0,0.0,49.0,39.0,0
4.0,6.0,153.0,15.0,9.0,4.0,5.0,3.0,4.0,1.0,0.0,0.0,39.0,39.0,0
25.0,6.0,691.0,9.0,12.0,4.0,5.0,3.0,4.0,1.0,0.0,0.0,34.0,39.0,0
10.0,4.0,1194.0,15.0,9.0,4.0,8.0,1.0,4.0,1.0,0.0,0.0,24.0,39.0,0
23.0,4.0,2754.0,14.0,14.0,2.0,10.0,0.0,1.0,1.0,118.0,0.0,39.0,0.0,1
2.0,0.0,1618.0,15.0,9.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,9.0,39.0,0
33.0,1.0,20.0,12.0,13.0,2.0,13.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0,1
11.0,6.0,608.0,2.0,7.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,29.0,39.0,0
41.0,6.0,1207.0,15.0,9.0,2.0,5.0,0.0,4.0,1.0,0.0,76.0,39.0,39.0,1
0.0,4.0,587.0,0.0,5.0,4.0,8.0,3.0,4.0,1.0,0.0,0.0,14.0,39.0,0
32.0,2.0,471.0,9.0,12.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,49.0,39.0,0
32.0,4.0,285.0,15.0,9.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,44.0,39.0,1
41.0,4.0,1600.0,0.0,5.0,2.0,8.0,5.0,4.0,0.0,0.0,0.0,7.0,39.0,0
37.0,2.0,383.0,11.0,8.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,55.0,39.0,0
14.0,4.0,243.0,15.0,9.0,2.0,12.0,0.0,1.0,1.0,0.0,0.0,49.0,36.0,0
17.0,4.0,1864.0,15.0,9.0,4.0,8.0,4.0,4.0,0.0,0.0,0.0,39.0,39.0,0
24.0,4.0,3898.0,11.0,8.0,2.0,3.0,0.0,4.0,1.0,94.0,0.0,37.0,39.0,1
18.0,4.0,157.0,11.0,8.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0,0
1.0,4.0,1132.0,11.0,8.0,4.0,12.0,3.0,4.0,0.0,0.0,25.0,19.0,39.0,0
48.0,4.0,80.0,9.0,12.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,39.0,39.0,0
4.0,4.0,2946.0,15.0,9.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,3.0,39.0,0
34.0,5.0,1740.0,14.0,14.0,0.0,10.0,1.0,4.0,1.0,115.0,0.0,59.0,39.0,1
12.0,4.0,1726.0,15.0,9.0,4.0,12.0,1.0,4.0,1.0,0.0,0.0,29.0,39.0,0
18.0,4.0,209.0,9.0,12.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,41.0,39.0,0
0.0,0.0,695.0,2.0,7.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,24.0,39.0,0
10.0,7.0,312.0,9.0,12.0,4.0,10.0,1.0,4.0,1.0,0.0,0.0,8.0,39.0,0
27.0,4.0,1736.0,12.0,13.0,2.0,10.0,0.0,4.0,1.0,91.0,0.0,39.0,39.0,1
10.0,4.0,6.0,15.0,9.0,2.0,6.0,5.0,4.0,0.0,0.0,0.0,34.0,39.0,0
19.0,2.0,2053.0,11.0,8.0,2.0,10.0,0.0,4.0,1.0,108.0,0.0,39.0,39.0,1
25.0,4.0,133.0,15.0,9.0,2.0,3.0,0.0,4.0,1.0,94.0,0.0,39.0,39.0,1
22.0,4.0,1007.0,11.0,8.0,0.0,9.0,4.0,4.0,0.0,0.0,0.0,21.0,39.0,0
27.0,2.0,10305.0,10.0,15.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,35.0,39.0,1
21.0,7.0,55.0,10.0,15.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,44.0,39.0,1
1.0,2.0,877.0,2.0,7.0,4.0,10.0,3.0,4.0,1.0,0.0,0.0,29.0,39.0,0
2.0,4.0,2302.0,11.0,8.0,4.0,6.0,3.0,4.0,1.0,0.0,0.0,29.0,39.0,0
2.0,0.0,1314.0,15.0,9.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,24.0,39.0,0
3.0,4.0,1051.0,15.0,9.0,4.0,10.0,1.0,4.0,0.0,0.0,0.0,29.0,39.0,0
24.0,2.0,51.0,12.0,13.0,0.0,10.0,4.0,4.0,0.0,0.0,0.0,59.0,39.0,0
28.0,1.0,10468.0,12.0,13.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,39.0,39.0,1
41.0,1.0,402.0,15.0,9.0,6.0,10.0,4.0,0.0,0.0,0.0,0.0,39.0,39.0,0
28.0,4.0,2986.0,8.0,10.0,2.0,4.0,0.0,4.0,1.0,0.0,50.0,49.0,39.0,1
0.0,4.0,211.0,0.0,5.0,4.0,12.0,3.0,4.0,0.0,0.0,0.0,11.0,39.0,0
32.0,0.0,490.0,5.0,3.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,93.0,39.0,0
6.0,0.0,2079.0,15.0,9.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,11.0,39.0,0
21.0,4.0,457.0,9.0,12.0,2.0,12.0,0.0,4.0,1.0,91.0,0.0,39.0,39.0,1
15.0,4.0,1362.0,15.0,9.0,0.0,3.0,4.0,4.0,1.0,0.0,0.0,39.0,39.0,0
2.0,4.0,2235.0,15.0,9.0,4.0,12.0,3.0,4.0,0.0,0.0,0.0,8.0,39.0,0
20.0,4.0,879.0,11.0,8.0,4.0,8.0,1.0,4.0,0.0,0.0,0.0,39.0,39.0,0
8.0,4.0,150.0,9.0,12.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,39.0,39.0,0
46.0,4.0,986.0,11.0,8.0,6.0,1.0,4.0,4.0,0.0,0.0,0.0,39.0,39.0,0
14.0,4.0,499.0,9.0,12.0,4.0,10.0,1.0,4.0,0.0,0.0,0.0,39.0,39.0,0
72.0,4.0,1363.0,9.0,12.0,2.0,12.0,0.0,4.0,1.0,98.0,0.0,14.0,39.0,1
32.0,4.0,72.0,15.0,9.0,6.0,4.0,1.0,4.0,0.0,0.0,0.0,39.0,39.0,1
11.0,4.0,1194.0,11.0,8.0,4.0,6.0,3.0,4.0,1.0,0.0,0.0,39.0,39.0,0
12.0,4.0,119.0,9.0,12.0,0.0,8.0,4.0,3.0,0.0,0.0,0.0,39.0,39.0,0
29.0,4.0,4711.0,12.0,13.0,2.0,10.0,0.0,4.0,1.0,108.0,0.0,49.0,39.0,1
